ime;ekipa;pozicija;tekme;točke;podaje;skoki
Larry Nance Jr.;ATL;PF;24;'8.5';'1.6';'4.3'
Jared Rhoden;CHO;SG;4;'1.0';'0.5';'1.0'
Jared Rhoden;TOR;SG;10;'11.4';'1.4';'3.8'
Jaylen Nowell;NOP;SG;8;'8.4';'2.3';'2.5'
Cason Wallace;OKC;SG;68;'8.4';'2.5';'3.4'
Bruce Brown;TOR;PG;18;'8.4';'1.6';'3.8'
Bruce Brown;NOP;PG;23;'8.2';'2.4';'4.2'
Dalano Banton;POR;PG;67;'8.3';'2.4';'2.0'
Brandon Clarke;MEM;PF;64;'8.3';'1.0';'5.1'
Keon Ellis;SAC;SG;80;'8.3';'1.5';'2.7'
Brandon Williams;DAL;PG;33;'8.3';'2.3';'1.8'
Mike Conley;MIN;PG;71;'8.2';'4.5';'2.6'
Taurean Prince;MIL;SF;80;'8.2';'1.9';'3.6'
Jalen Smith;CHI;C;64;'8.2';'1.0';'5.6'
Quinten Post;GSW;PF;42;'8.1';'1.3';'3.5'
Peyton Watson;DEN;SF;68;'8.1';'1.4';'3.4'
Davion Mitchell;TOR;PG;44;'6.3';'4.6';'1.9'
Davion Mitchell;MIA;PG;30;'10.3';'5.3';'2.7'
Caleb Martin;PHI;SF;31;'9.1';'2.2';'4.4'
Caleb Martin;DAL;SF;14;'5.4';'1.9';'2.9'
Tyson Etienne;BRK;PG;7;'7.9';'1.7';'1.3'
Day'Ron Sharpe;BRK;C;50;'7.9';'1.8';'6.6'
KJ Simpson;CHO;PG;36;'7.8';'3.1';'3.0'
Terance Mann;LAC;SG;37;'6.0';'1.6';'2.9'
Terance Mann;ATL;SG;30;'9.8';'2.1';'3.1'
Karlo Matković;NOP;PF;42;'7.7';'1.1';'5.0'
AJ Johnson;MIL;SG;7;'2.9';'1.0';'1.0'
AJ Johnson;WAS;SG;22;'9.1';'3.1';'2.4'
Lonzo Ball;CHI;PG;35;'7.6';'3.3';'3.4'
Oscar Tshiebwe;UTA;C;14;'7.6';'0.6';'8.7'
Garrison Mathews;ATL;SG;47;'7.5';'1.3';'1.9'
Matisse Thybulle;POR;SG;15;'7.5';'1.9';'3.5'
A.J. Green;MIL;SG;73;'7.4';'1.5';'2.4'
Josh Green;CHO;SG;68;'7.4';'1.6';'2.5'
Richaun Holmes;WAS;PF;31;'7.4';'1.4';'5.7'
Damion Baugh;CHO;SG;15;'7.3';'3.7';'3.3'
Alec Burks;MIA;SG;49;'7.3';'1.1';'2.5'
Ricky Council IV;PHI;SF;73;'7.3';'1.3';'2.9'
Andre Drummond;PHI;C;40;'7.3';'0.9';'7.8'
Tre Jones;SAS;PG;28;'4.4';'3.7';'2.1'
Tre Jones;CHI;PG;18;'11.5';'4.9';'3.2'
Goga Bitadze;ORL;C;70;'7.2';'2.0';'6.6'
Tristan Da Silva;ORL;SF;74;'7.2';'1.5';'3.3'
GG Jackson II;MEM;PF;29;'7.2';'1.0';'3.2'
Vit Krejci;ATL;PG;57;'7.2';'2.6';'2.7'
Sam Merrill;CLE;SG;71;'7.2';'1.5';'2.2'
Daeqwon Plowden;ATL;SG;6;'7.2';'0.3';'1.8'
Nae'Qwan Tomlin;CLE;PF;5;'7.2';'0.4';'4.2'
Josh Okogie;PHO;SG;25;'6.0';'0.6';'2.9'
Josh Okogie;CHO;SG;15;'8.9';'1.3';'2.7'
Jalen Hood-Schifino;LAL;SG;2;'2.0';'0.5';'0.5'
Jalen Hood-Schifino;PHI;SG;13;'7.8';'2.8';'2.0'
Jamison Battle;TOR;SF;59;'7.1';'0.9';'2.7'
Alex Caruso;OKC;SG;54;'7.1';'2.5';'2.9'
Jamal Shead;TOR;PG;75;'7.1';'4.2';'1.5'
Jeff Dowtin Jr.;PHI;PG;41;'7.0';'1.9';'1.5'
Marcus Garrett;CHO;SG;4;'7.0';'3.3';'1.5'
Isaiah Jackson;IND;C;5;'7.0';'1.0';'5.6'
Jaylen Sims;CHO;SG;6;'7.0';'2.0';'1.0'
Orlando Robinson;SAC;C;9;'2.1';'1.0';'1.6'
Orlando Robinson;TOR;C;35;'8.1';'1.9';'5.9'
Jake LaRavia;MEM;PF;47;'7.3';'2.8';'4.4'
Jake LaRavia;SAC;PF;19;'6.1';'1.3';'2.8'
Ryan Dunn;PHO;SF;74;'6.9';'0.8';'3.6'
Jay Huff;MEM;C;64;'6.9';'0.6';'2.0'
Cameron Payne;NYK;PG;72;'6.9';'2.8';'1.4'
Antonio Reeves;NOP;SG;44;'6.9';'0.9';'1.4'
Cody Martin;CHO;SF;39;'7.8';'2.3';'4.5'
Cody Martin;PHO;SF;14;'3.7';'1.1';'3.4'
Bol Bol;PHO;PF;36;'6.8';'0.6';'2.9'
Eric Gordon;PHI;SG;39;'6.8';'1.7';'1.2'
Jaxson Hayes;LAL;C;56;'6.8';'1.0';'4.8'
Marcus Bagley;PHI;SF;10;'6.7';'1.0';'7.0'
DaQuan Jeffries;CHO;SG;47;'6.7';'1.1';'2.9'
Lester Quiñones;PHI;SG;4;'2.3';'0.3';'1.0'
Lester Quiñones;NOP;SG;9;'8.6';'2.6';'1.7'
Vasilije Micić;CHO;PG;36;'7.5';'3.5';'2.4'
Vasilije Micić;PHO;PG;5;'0.0';'0.2';'0.4'
Precious Achiuwa;NYK;C;57;'6.6';'1.0';'5.6'
Trayce Jackson-Davis;GSW;C;62;'6.6';'1.7';'5.0'
Marcus Sasser;DET;PG;57;'6.6';'2.3';'1.2'
Vince Williams Jr.;MEM;SG;27;'6.6';'2.0';'3.6'
Thomas Bryant;MIA;C;10;'4.1';'0.4';'3.2'
Thomas Bryant;IND;C;56;'6.9';'0.9';'3.9'
Donovan Clingan;POR;C;67;'6.5';'1.1';'7.9'
Seth Curry;CHO;SG;68;'6.5';'0.9';'1.7'
Haywood Highsmith;MIA;SF;74;'6.5';'1.5';'3.4'
Talen Horton-Tucker;CHI;SG;58;'6.5';'1.4';'1.7'
Trey Lyles;SAC;PF;69;'6.5';'1.2';'4.6'
Ajay Mitchell;OKC;SG;36;'6.5';'1.8';'1.9'
Gary Payton II;GSW;SG;62;'6.5';'1.3';'3.0'
Zach Collins;SAS;C;36;'4.6';'1.4';'2.8'
Zach Collins;CHI;PF;28;'8.6';'2.1';'6.7'
Kris Dunn;LAC;PG;74;'6.4';'2.8';'3.4'
Ron Holland;DET;SF;81;'6.4';'1.0';'2.7'
KJ Martin;PHI;PF;24;'6.4';'0.8';'3.0'
KJ Martin;UTA;SF;19;'6.3';'1.5';'2.8'
Gabe Vincent;LAL;PG;72;'6.4';'1.4';'1.3'
Sandro Mamukelashvili;SAS;PF;61;'6.3';'0.8';'3.1'
Jeremiah Robinson-Earl;NOP;PF;66;'6.3';'1.3';'4.8'
Kenrich Williams;OKC;PF;69;'6.3';'1.4';'3.5'
Bones Hyland;LAC;PG;20;'7.2';'1.4';'1.2'
Bones Hyland;MIN;PG;4;'1.3';'1.0';'0.3'
Jonathan Mogbo;TOR;PF;63;'6.2';'2.3';'4.9'
Ryan Rollins;MIL;PG;56;'6.2';'1.9';'1.9'
Dru Smith;MIA;SG;14;'6.2';'1.6';'2.6'
Isaac Okoro;CLE;SG;55;'6.1';'1.2';'2.4'
Jarace Walker;IND;PF;75;'6.1';'1.5';'3.1'
N'Faly Dante;HOU;C;4;'6.0';'0.5';'5.3'
Mouhamed Gueye;ATL;PF;33;'6.0';'0.8';'4.2'
Luke Kornet;BOS;C;73;'6.0';'1.6';'5.3'
Isaiah Mobley;PHI;PF;1;'6.0';'5.0';'4.0'
Isaiah Stewart;DET;C;72;'6.0';'1.7';'5.5'
James Wiseman;IND;C;1;'6.0';'0.0';'1.0'
Isaiah Wong;CHO;SG;20;'6.0';'1.4';'1.6'
Cole Swider;DET;SF;2;'0.0';'0.5';'1.0'
Cole Swider;TOR;SF;8;'7.4';'0.3';'3.1'
Chuma Okeke;PHI;PF;7;'6.9';'1.9';'6.1'
Chuma Okeke;CLE;PF;2;'2.5';'1.0';'2.0'
Kyle Anderson;GSW;PF;36;'5.3';'2.3';'3.1'
Kyle Anderson;MIA;SF;25;'6.7';'2.6';'3.8'
Simone Fontecchio;DET;SF;75;'5.9';'0.9';'2.9'
Collin Gillespie;PHO;PG;33;'5.9';'2.4';'2.4'
Tidjane Salaün;CHO;PF;60;'5.9';'1.2';'4.7'
Jaylin Williams;OKC;PF;47;'5.9';'2.6';'5.6'
Moses Brown;IND;C;9;'3.2';'0.0';'1.4'
Moses Brown;DAL;C;4;'11.8';'0.5';'7.8'
Adem Bona;PHI;C;58;'5.8';'0.5';'4.2'
Quenton Jackson;IND;PG;28;'5.8';'1.9';'1.6'
Robert Williams;POR;C;20;'5.8';'1.1';'5.9'
Moussa Diabaté;CHO;C;71;'5.7';'0.8';'6.2'
Dariq Whitehead;BRK;SF;20;'5.7';'0.6';'1.5'
Landry Shamet;NYK;SG;50;'5.7';'0.5';'1.2'
Jordan Goodwin;LAL;PG;29;'5.6';'1.4';'3.9'
Shake Milton;BRK;SG;27;'7.4';'2.4';'1.9'
